,playerID,nameFirst,nameLast,birthYear,birthCountry,G_c,G_all,AB,R,RBI,H,2B,3B,HR,AVG,PB,SB,inducted
0,allisdo01,Doug,Allison,1846.0,USA,277.0,316.0,1407.0,236.0,139.0,382.0,44.0,10.0,2.0,0.27149964463397297,166.0,0.0,False
1,alomasa02,Sandy,Alomar,1966.0,P.R.,1324.0,1377.0,4530.0,520.0,588.0,1236.0,249.0,10.0,112.0,0.2728476821192053,71.0,758.0,False
2,archeji01,Jimmy,Archer,1883.0,Ireland,734.0,850.0,2646.0,246.0,296.0,660.0,106.0,34.0,16.0,0.2494331065759637,70.0,124.0,False
3,ausmubr01,Brad,Ausmus,1969.0,USA,1938.0,1971.0,6279.0,718.0,607.0,1579.0,270.0,34.0,80.0,0.25147316451664276,61.0,894.0,False
4,bartobo01,Bob,Barton,1941.0,USA,380.0,393.0,1049.0,54.0,66.0,237.0,31.0,3.0,9.0,0.2259294566253575,9.0,181.0,False
5,benchjo01,Johnny,Bench,1947.0,USA,1743.0,2158.0,7658.0,1091.0,1376.0,2048.0,381.0,24.0,389.0,0.2674327500652912,94.0,610.0,True
6,bennech01,Charlie,Bennett,1854.0,USA,954.0,1062.0,3821.0,549.0,533.0,978.0,203.0,67.0,55.0,0.255953938759487,352.0,358.0,False
7,bergema01,Marty,Bergen,1871.0,USA,337.0,344.0,1278.0,180.0,176.0,339.0,44.0,15.0,10.0,0.2652582159624413,94.0,392.0,False
8,bergmo01,Moe,Berg,1902.0,USA,529.0,663.0,1813.0,150.0,206.0,441.0,71.0,6.0,6.0,0.24324324324324326,33.0,0.0,False
9,berrayo01,Yogi,Berra,1925.0,USA,1695.0,2120.0,7555.0,1175.0,1430.0,2150.0,321.0,49.0,358.0,0.28457974851091994,76.0,208.0,True
10,berrych02,Charlie,Berry,1902.0,USA,656.0,709.0,2018.0,196.0,256.0,539.0,88.0,29.0,23.0,0.26709613478691774,35.0,0.0,False
11,biggicr01,Craig,Biggio,1965.0,USA,428.0,2850.0,10876.0,1844.0,1175.0,3060.0,668.0,55.0,291.0,0.28135343876425156,32.0,434.0,True
12,boccajo01,John,Boccabella,1941.0,USA,319.0,551.0,1462.0,117.0,148.0,320.0,56.0,5.0,26.0,0.2188782489740082,24.0,126.0,False
13,boonebo01,Bob,Boone,1947.0,USA,2225.0,2264.0,7245.0,679.0,826.0,1838.0,303.0,26.0,105.0,0.2536922015182885,97.0,1108.0,False
